error: Jun-17-2021 17:58:17: 	Forbidden - /api/items/comment/6050c9bd7eade8231fb9d76a - POST - ::ffff:127.0.0.1 - Not authorized
error: Jun-22-2021 12:58:39: 	Bad Request - /api/items/bid/6050c9bd7eade8231fb9d76a - POST - ::ffff:127.0.0.1 - item validation failed: bidHistory.0.bid: Path `bid` is required. - Auction_ID: 6050c9bd7eade8231fb9d76a - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
error: Jun-22-2021 13:02:04: 	Bad Request - /api/items/bid/6050c9bd7eade8231fb9d76a - POST - ::ffff:127.0.0.1 - item validation failed: bidHistory.0.bid: Path `bid` is required. - Auction_ID: 6050c9bd7eade8231fb9d76a - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jun-24-2021 13:55:31: 	OK - /api/items/endDate/60ad3c31784b24f7835895e5 - PUT - ::ffff:127.0.0.1 - Extended Auction - Auction_ID: 60ad3c31784b24f7835895e5 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jun-24-2021 13:55:31: 	OK - /api/items/endDate/60ad3c31784b24f7835895e5 - PUT - ::ffff:127.0.0.1 - Extended Auction - Auction_ID: 60ad3c31784b24f7835895e5 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jun-28-2021 20:03:28: 	OK - /api/items/bid/60ad3c31784b24f7835895e5 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 3000 - Auction_ID: 60ad3c31784b24f7835895e5 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jun-29-2021 08:21:23: 	OK - /api/items/bid/60c13861f23cea020c192b03 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 1500 - Auction_ID: 60c13861f23cea020c192b03 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jun-29-2021 08:30:16: 	OK - /api/items/bid/60c13861f23cea020c192b03 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 1600 - Auction_ID: 60c13861f23cea020c192b03 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jun-29-2021 08:34:45: 	OK - /api/items/bid/60c13861f23cea020c192b03 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 1700 - Auction_ID: 60c13861f23cea020c192b03 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jun-29-2021 08:42:15: 	OK - /api/items/bid/60c13861f23cea020c192b03 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 1800 - Auction_ID: 60c13861f23cea020c192b03 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jun-29-2021 08:57:58: 	OK - /api/items/bid/60c13861f23cea020c192b03 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 1800 - Auction_ID: 60c13861f23cea020c192b03 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jul-02-2021 12:42:57: 	OK - /api/items/endDate/60ad3c31784b24f7835895e5 - PUT - ::ffff:127.0.0.1 - Extended Auction - Auction_ID: 60ad3c31784b24f7835895e5 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jul-02-2021 12:42:57: 	OK - /api/items/endDate/60ad3c31784b24f7835895e5 - PUT - ::ffff:127.0.0.1 - Extended Auction - Auction_ID: 60ad3c31784b24f7835895e5 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jul-02-2021 15:34:07: 	OK - /api/items/endDate/60c13861f23cea020c192b03 - PUT - ::ffff:127.0.0.1 - Extended Auction - Auction_ID: 60c13861f23cea020c192b03 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
info: Jul-02-2021 15:34:08: 	OK - /api/items/endDate/60c13861f23cea020c192b03 - PUT - ::ffff:127.0.0.1 - Extended Auction - Auction_ID: 60c13861f23cea020c192b03 - hayhoky@gmail.com - h7ikrjAsPUh6uUtkVs7evGVyFU23
error: Jul-03-2021 14:18:38: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - Operation `items.find()` buffering timed out after 10000ms
error: Jul-03-2021 14:19:07: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - Operation `items.find()` buffering timed out after 10000ms
error: Jul-14-2021 21:08:15: 	Bad Request - /api/items - GET - undefined - Operation `items.find()` buffering timed out after 10000ms
error: Jul-14-2021 21:08:25: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - Operation `items.find()` buffering timed out after 10000ms
error: Jul-14-2021 21:10:32: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - Operation `items.find()` buffering timed out after 10000ms
error: Jul-14-2021 21:10:58: 	Bad Request - /api/items - GET - undefined - Operation `items.find()` buffering timed out after 10000ms
error: Jul-14-2021 21:26:21: 	Bad Request - /api/items/60ef8870b801f2221ea4a8fb - GET - ::ffff:127.0.0.1 - No item
error: Jul-14-2021 21:44:11: 	Bad Request - /api/items/60ef8f2c6efa046d7ce3efd8 - GET - ::ffff:127.0.0.1 - No item
info: Jul-18-2021 19:20:32: 	OK - /api/items/comment/60f31a87c3f7c9d840ded51e - POST - ::ffff:127.0.0.1 - Comment successfully - Comment: Going live soon! - Auction_ID: 60f31a87c3f7c9d840ded51e - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
error: Jul-24-2021 09:06:59: 	Bad Request - /api/items/for_review - GET - ::ffff:127.0.0.1 - items is not defined
info: Jul-27-2021 08:52:27: 	OK - /api/items/submit - POST - ::ffff:127.0.0.1 - Submitted successfully - hayhoky@gmail.com - nGn0eYrvqJZmI33SLt3vueTi7HI2
error: Jul-27-2021 20:36:45: 	Bad Request - /api/items/6050c9bd7eade8231fb9d76a - GET - undefined - No item
error: Jul-27-2021 20:37:50: 	Bad Request - /api/items/bid/60f310d5c3f7c9d840ded51c - POST - ::ffff:127.0.0.1 - Cannot read property 'bid' of undefined - Auction_ID: 60f310d5c3f7c9d840ded51c - hayhoky@gmail.com - nGn0eYrvqJZmI33SLt3vueTi7HI2
error: Jul-27-2021 20:41:28: 	Bad Request - /api/items/bid/60f310d5c3f7c9d840ded51c - POST - ::ffff:127.0.0.1 - Cannot read property 'bid' of undefined - Auction_ID: 60f310d5c3f7c9d840ded51c - hayhoky@gmail.com - nGn0eYrvqJZmI33SLt3vueTi7HI2
error: Jul-27-2021 20:41:53: 	Bad Request - /api/items/bid/60f310d5c3f7c9d840ded51c - POST - ::ffff:127.0.0.1 - Cannot read property 'bid' of undefined - Auction_ID: 60f310d5c3f7c9d840ded51c - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
error: Jul-27-2021 20:42:29: 	Bad Request - /api/items/bid/60f310d5c3f7c9d840ded51c - POST - ::ffff:127.0.0.1 - Cannot read property 'bid' of undefined - Auction_ID: 60f310d5c3f7c9d840ded51c - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
error: Jul-27-2021 20:43:45: 	Bad Request - /api/items/bid/60f31316c3f7c9d840ded51d - POST - ::ffff:127.0.0.1 - Cannot read property 'bid' of undefined - Auction_ID: 60f31316c3f7c9d840ded51d - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
error: Jul-27-2021 20:51:23: 	Bad Request - /api/items/bid/60f0e2aad6e9bd942959fa8a - POST - ::ffff:127.0.0.1 - Cannot read property 'bid' of undefined - Auction_ID: 60f0e2aad6e9bd942959fa8a - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
error: Jul-27-2021 20:54:19: 	Bad Request - /api/items/bid/60f310d5c3f7c9d840ded51c - POST - ::ffff:127.0.0.1 - Cannot read property 'bid' of undefined - Auction_ID: 60f310d5c3f7c9d840ded51c - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
error: Jul-27-2021 20:58:18: 	Bad Request - /api/items/bid/60f310d5c3f7c9d840ded51c - POST - ::ffff:127.0.0.1 - Cannot read property 'bid' of undefined - Auction_ID: 60f310d5c3f7c9d840ded51c - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
info: Jul-27-2021 20:58:50: 	OK - /api/items/bid/60f310d5c3f7c9d840ded51c - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 100 - Auction_ID: 60f310d5c3f7c9d840ded51c - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
error: Jul-27-2021 21:04:27: 	Bad Request - /api/items/6050c9bd7eade8231fb9d76a - GET - ::ffff:127.0.0.1 - No item
error: Jul-27-2021 21:19:09: 	Bad Request - /api/items/submit - POST - ::ffff:127.0.0.1 - {(intermediate value)(intermediate value)(intermediate value)(intermediate value)(intermediate value)(intermediate value)} is not a function - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
error: Jul-27-2021 21:20:53: 	Bad Request - /api/items/submit - POST - ::ffff:127.0.0.1 - Bad Request (400)
  Each email address in the personalization block should be unique between to, cc, and bcc. We found the first duplicate instance of [alex@nowaitlist.co] in the personalizations.0.cc field.
    personalizations.0
    http://sendgrid.com/docs/API_Reference/Web_API_v3/Mail/errors.html#message.recipient-errors - alex@nowaitlist.co - fnF5bIUDeFegpObqNi5lr2Ixt5B2
info: Jul-27-2021 21:22:43: 	OK - /api/items/submit - POST - ::ffff:127.0.0.1 - Submitted successfully - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
error: Jul-27-2021 21:23:40: 	Bad Request - /api/items/submit - POST - ::ffff:127.0.0.1 - {(intermediate value)(intermediate value)(intermediate value)(intermediate value)(intermediate value)(intermediate value)} is not a function - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
error: Jul-31-2021 09:53:09: 	Bad Request - /api/items/email-test - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "email-test" (type string) at path "_id" for model "item"
error: Jul-31-2021 11:33:04: 	Bad Request - /api/items/get - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "get" (type string) at path "_id" for model "item"
error: Aug-11-2021 18:59:03: 	Bad Request - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - item validation failed: bidHistory.0.bid: Path `bid` is required. - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
info: Aug-11-2021 18:59:57: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 123 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
info: Aug-11-2021 19:00:21: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 333 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
info: Aug-11-2021 19:15:05: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 343 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
info: Aug-11-2021 19:17:02: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 343 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
info: Aug-11-2021 19:18:14: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 343 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
error: Aug-11-2021 20:40:47: 	Forbidden - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1
info: Aug-11-2021 20:41:15: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 313 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
info: Aug-11-2021 20:41:47: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 313 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
info: Aug-11-2021 21:30:14: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 122 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
info: Aug-11-2021 21:34:42: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - ::ffff:127.0.0.1 - Bid successfully - Bid: 1202 - Auction_ID: 60ef8e426efa046d7ce3efd7 - tantakian@gmail.com - s9tSZqz4m9ZxxN3h0nNhWl1yhoi1
error: Aug-25-2021 20:42:18: 	Bad Request - /api/items/chartdata - GET - ::ffff:127.0.0.1 - fetch is not defined
error: Aug-25-2021 20:46:13: 	Bad Request - /api/items/chartdata - GET - ::ffff:127.0.0.1 - res.status is not a function
error: Aug-26-2021 17:07:45: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::1 - chart is not defined
error: Aug-26-2021 17:11:18: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::1 - chart is not defined
error: Aug-26-2021 17:15:18: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::1 - Assignment to constant variable.
error: Aug-26-2021 17:30:16: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::1 - item.push is not a function
error: Aug-26-2021 17:55:12: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::1 - newItem is not defined
error: Aug-26-2021 21:42:14: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - item is not defined
error: Aug-26-2021 21:42:19: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - item is not defined
error: Aug-26-2021 21:42:40: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - Assignment to constant variable.
info: Aug-31-2021 15:01:09: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - undefined - Bid successfully - Bid: 1400 - Auction_ID: 60ef8e426efa046d7ce3efd7 - winona.ullrich67@ethereal.email - yeAYHSW5kefvR9zFN54a0wTSplk1
info: Aug-31-2021 15:07:41: 	OK - /api/items/bid/60ef8e426efa046d7ce3efd7 - POST - undefined - Bid successfully - Bid: 1500 - Auction_ID: 60ef8e426efa046d7ce3efd7 - winona.ullrich67@ethereal.email - yeAYHSW5kefvR9zFN54a0wTSplk1
error: Sep-01-2021 14:40:45: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 14:50:59: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 14:51:23: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 14:57:26: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 14:57:53: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 16:20:02: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 16:20:05: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 16:22:26: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - item is not defined
error: Sep-01-2021 16:22:48: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - Assignment to constant variable.
error: Sep-01-2021 16:24:36: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 16:26:30: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 16:34:43: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 16:34:51: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-01-2021 16:37:31: 	Bad Request - /api/items/undefined - GET - ::ffff:127.0.0.1 - Cast to ObjectId failed for value "undefined" (type string) at path "_id" for model "item"
error: Sep-10-2021 13:25:20: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - Operation `items.find()` buffering timed out after 10000ms
error: Sep-10-2021 13:26:11: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - Operation `items.find()` buffering timed out after 10000ms
error: Sep-15-2021 17:53:16: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-15-2021 17:54:15: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-15-2021 17:55:19: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-15-2021 17:55:45: 	Bad Request - /api/items/60ef8e426efa046d7ce3efd7 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:17:19: 	Bad Request - /api/items/60f31a87c3f7c9d840ded51e - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:17:21: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:17:30: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:17:57: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:18:37: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:18:42: 	Bad Request - /api/items/60f0e2aad6e9bd942959fa8a - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:19:48: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:19:50: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:38:43: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:40:28: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:40:31: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:44:25: 	Bad Request - /api/items/60f0e2aad6e9bd942959fa8a - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:44:27: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:44:34: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:45:04: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:45:36: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:45:38: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:45:50: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:47:35: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:47:38: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:47:44: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:51:52: 	Bad Request - /api/items/612d5684424eb900166debf8 - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-16-2021 19:51:57: 	Bad Request - /api/items/612d5684424eb900166debf8/ - GET - ::ffff:127.0.0.1 - Cannot read property 'url' of undefined
error: Sep-17-2021 09:59:52: 	Bad Request - /api/items - GET - ::ffff:127.0.0.1 - fetchdata.json is not a function
